config,seed,layer,relative_residual,mean_cosine
vanilla,1,24,0.731615424156189,0.5068846344947815
vanilla,2,0,0.9291134476661682,0.002073255367577076
vanilla,2,1,0.9026474952697754,0.028544047847390175
vanilla,2,2,0.92215895652771,0.04470686987042427
vanilla,2,3,0.9025276899337769,0.08266724646091461
vanilla,2,4,0.8761910796165466,0.12996359169483185
vanilla,2,5,0.8918414115905762,0.1399303376674652
vanilla,2,6,0.8650235533714294,0.16919934749603271
vanilla,2,7,0.8751031160354614,0.21059447526931763
vanilla,2,8,0.8648362755775452,0.2375289350748062
vanilla,2,9,0.8831660747528076,0.24398460984230042
vanilla,2,10,0.8776366114616394,0.2674046754837036
vanilla,2,11,0.8553766012191772,0.290917307138443
vanilla,2,12,0.8628831505775452,0.3241632580757141
vanilla,2,13,0.8011730909347534,0.3433665335178375
vanilla,2,14,0.81751948595047,0.3403110206127167
vanilla,2,15,0.8027123212814331,0.37762451171875
vanilla,2,16,0.8048056364059448,0.3831741213798523
vanilla,2,17,0.8004197478294373,0.3849218487739563
vanilla,2,18,0.780977725982666,0.42240384221076965
vanilla,2,19,0.784611165523529,0.42746827006340027
vanilla,2,20,0.7596883773803711,0.46258544921875
vanilla,2,21,0.7443665266036987,0.478967547416687
vanilla,2,22,0.7215113639831543,0.4697320759296417
vanilla,2,23,0.685661256313324,0.48550736904144287
vanilla,2,24,0.7028756737709045,0.49716025590896606
